Price;Location;Spare;Length;Width;Direction;Amenities
1.33 tỷ; Xã Hồng Liêm, Huyện Hàm Thuận Bắc, Bình Thuận; 5,500 m²; --; --; --;0
1.17 tỷ; Xã Hòa Phú, Huyện Tuy Phong, Bình Thuận; 78 m²; --; --; --;0
2.5 tỷ; Thôn 2, Xã Long Tân, Huyện Phú Riềng, Bình Phước; 475 m²; 36.85 m; 11.41 m; Đ.Bắc;1
670 triệu; ĐT 605, Xã Điện Tiến, Thị xã Điện Bàn, Quảng Nam; 150 m²; 30 m; 5 m; Đông;1
3.3 tỷ; Đường Vành Đai, Xã Hòa Châu, Huyện Hòa Vang, TP. Đà Nẵng; 517 m²; 49 m; 9.99 m; Đông;1
440 triệu; Đường ĐT 763, Xã Suối Nho, Huyện Định Quán, Đồng Nai; 1,000 m²; 100 m; 10 m; --;0
6 tỷ; Đường Quốc lộ 1A, Thôn Lương Hoà, Xã Vĩnh Lương. Tp Nha Trang.; 830 m²; 40 m; 12 m; --;0
720 triệu; Đường ĐT 756, Xã Lộc Thành, Huyện Lộc Ninh, Bình Phước; 250 m²; 50 m; 5 m; --;1
519 triệu; Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 255 m²; 5 m; 51 m; --;1
6.66 tỷ; Đường Tỉnh lộ 419, Xã Tân Xã, Huyện Thạch Thất, TP Hà Nội; 180 m²; 30 m; 6 m; --;0
6 tỷ; Đường Quốc lộ 1A, Xã Vĩnh Lương, TP Nha Trang, Khánh Hòa; 830 m²; 40 m; 12 m; --;0
2.1 tỷ; Đường Tỉnh lộ 419, Tân Xã, Thạch Thất, HN; 90 m²; 16 m; 5 m; --;0
1.12 tỷ; Đường 1, Vĩnh Thạnh, Nha Trang, Khánh Hòa; 79 m²; 18 m; 5 m; --;0
14.65 tỷ; Đường Phạm Văn Đồng, Phường Mai Dịch, Cầu Giấy, TP. HN; 270 m²; 13.5 m; 20 m; --;0
14.65 tỷ; Đường Phạm Văn Đồng, Phường Mai Dịch, Quận Cầu Giấy, TP Hà Nội; 270 m²; 13.5 m; 20 m; --;0
4.38 tỷ; Xã Đặng Xá, Huyện Gia Lâm, TP. Hà Nội; 102 m²; --; --; --;0
490 triệu; Xã An Khương, Huyện Hớn Quản, Bình Phước; 950 m²; 38 m; 25 m; --;1
3.8 tỷ; Thị trấn Diên Khánh, Huyện Diên Khánh, Khánh Hòa; 260 m²; 17.99 m; 20 m; Đ.Nam;0
1.2 tỷ; Đường Văn Cú An Đồng, An Dương, Hải Phòng; 60 m²; 12 m; 5 m; --;0
3.3 tỷ; Đường Bùi Phổ Tân Thành, Dương Kinh, Hải Phòng; 154 m²; 27 m; 7 m; --;0
2.25 tỷ; Đường 3 Nguyên Khê, Đông Anh, Hà Nội; 59 m²; 15 m; 4 m; --;0
2.08 tỷ; Đường 23 Vân Nội, Đông Anh, Hà Nội; 54 m²; 14 m; 4 m; --;0
1.5 tỷ; Đường Phan Trứ Lãm Hà, Kiến An, Hải Phòng; 93 m²; 17 m; 7 m; --;0
1.18 tỷ; Đường Hoài Đức, Lâm Hà, Lâm Đồng; 1,035 m²; 83.5 m; 12 m; --;0
2.35 tỷ; Đường số 57, Phường 14, Quận Gò Vấp, TP. Hồ Chí Minh; 85 m²; 17 m; 5 m; --;1
1.29 tỷ; Hoài Đức, Lâm Hàm, Lâm Đồng; 1,415 m²; 50 m; 29 m; --;0
3.5 tỷ; Đường Tỉnh lộ 420 Tân Xã, Thạch Thất, Hà Nội; 147 m²; 22 m; 6 m; --;0
2.4 tỷ; Quốc lộ 50, Xã Bình Đông, Thị xã Gò Công, Tiền Giang; 800 m²; --; --; --;1
435 triệu; Đường Quốc Lộ 13, Xã Nha Bích, Thị xã Chơn Thành, Bình Phước; 1,055 m²; 35 m; 30 m; --;1
3.5 tỷ; Đường Tỉnh lộ 420 Tân Xã, Thạch Thất, Hà Nội; 147 m²; 22 m; 6 m; --;0
1.99 tỷ; Đường Tỉnh lộ 420 Tân Xã, Thạch Thất, Hà Nội; 114 m²; 21 m; 5 m; --;0
1 tỷ; Đường Hoài Đức, Lâm Hà, Lâm Đồng; 10,000 m²; --; --; --;0
950 triệu; Xã Đức Hòa Đông, Huyện Đức Hòa, Long An; 85 m²; 17 m; 5 m; --;1
5.6 tỷ; Đường Số 11 Trường Thọ, Thủ Đức, TPHCM; 60 m²; 15 m; 4 m; --;0
550 triệu; Đường Quốc Lộ 13, Xã Tân Hưng, Huyện Hớn Quản, Bình Phước; 250 m²; 35.4 m; 7 m; --;1
415 triệu; Đường Quốc Lộ 13, Xã Trừ Văn Thố, Huyện Bàu Bàng, Bình Dương; 1,055 m²; 35 m; 30 m; --;1
500 triệu; Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Đồng Nai; 1,000 m²; 40 m; 25 m; --;1
365 triệu; Đường Bùi Thị Xuân, Xã Sơn Điền, Huyện Di Linh, Lâm Đồng; 3,000 m²; 30 m; 100 m; --;1
800 triệu; Phường Tân Định, Thị xã Bến Cát, Bình Dương; 100 m²; --; --; --;0
750 triệu; Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 100 m²; --; --; --;0
950 triệu; Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0
980 triệu; Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0
860 triệu; Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0
2 tỷ; Đường Ba Trại Cửa Dương, Phú Quốc, Kiên Giang; 520 m²; 41 m; 12.5 m; --;0
5.5 tỷ; Đường Bào Dương Tơ, Phú Quốc, Kiên Giang; 1,001 m²; 61 m; 18 m; --;0
1.2 tỷ; Đường Văn Cú An Đồng, An Dương, Hải Phòng; 52 m²; 10 m; 5 m; --;0
412 triệu; Ql50, Xã Bình Đông, Thị xã Gò Công, Tiền Giang; 100 m²; --; --; --;1
2.6 tỷ; Phường Hòa Thọ Tây, Quận Cẩm Lệ, TP. Đà Nẵng; 186 m²; 19 m; 9.49 m; Đông;1
4.6 tỷ; Đường Phong Nam, Xã Hòa Châu, Huyện Hòa Vang, TP. Đà Nẵng; 400 m²; 36 m; 12 m; Đông;1
1.61 tỷ; Quốc Lộ 50, Xã Phong Phú, Huyện Bình Chánh, TP. Hồ Chí Minh; 120 m²; 24 m; 5 m; --;1
5.65 tỷ; Đường Tổ dân phố Hướng, Thọ Xương, TP.Bắc Giang, Bắc Giang; 753 m²; --; --; --;0
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 80 m²; 16 m; 5 m; --;0
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 78 m²; --; --; --;0
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 76 m²; 15.2 m; 5 m; Đông;0
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 75 m²; 15 m; 5 m; --;0
1.65 tỷ; Hoàng Diệu, Phường Vĩnh Mỹ, TP. Châu Đốc, An Giang; 125 m²; 5 m; 25 m; --;0
1.35 tỷ; Đường ĐT 750, Xã Định Hiệp, Huyện Dầu Tiếng, Bình Dương; 231 m²; 21 m; 11 m; --;1
13.25 tỷ; Đường Dương Khuê Mai Dịch, Cầu Giấy, Hà Nội; 60 m²; 15 m; 4 m; --;0
500 triệu; Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Đồng Nai; 1,001 m²; 40 m; 25 m; --;1
5.8 tỷ; Đường Tỉnh lộ 420 Tân Xã, Thạch Thất, Hà Nội; 283 m²; 28 m; 10 m; --;0
1.4 tỷ; Hưng Nhơn, Xã Tân Kiên, Huyện Bình Chánh, TP. Hồ Chí Minh; 96 m²; 19 m; 5 m; --;0
560 triệu; Quốc lộ 50, Xã Bình Đông, Thị xã Gò Công, Tiền Giang; 90 m²; 18 m; 5 m; --;0
2.1 tỷ; Đường Tỉnh lộ 420 Tân Xã, Thạch Thất, Hà Nội; 90 m²; 18 m; 5 m; --;0
5.8 tỷ; Đường Tỉnh lộ 420 Tân Xã, Thạch Thất, Hà Nội; 283 m²; 28 m; 10 m; --;0
120 triệu; Sô 1, Phường Nghĩa Tân, TP. Gia Nghĩa, Đắk Nông; 1,500 m²; 30 m; 50 m; --;1
950 triệu; Tỉnh Lộ 7, Xã Phước Vĩnh An, Huyện Củ Chi, TP. Hồ Chí Minh; 568 m²; 15 m; 37 m; --;1
2.1 tỷ; Đường Tỉnh lộ 420 Tân Xã, Thạch Thất, Hà Nội; 90 m²; 18 m; 5 m; --;0
1.9 tỷ; Xã Đông Dư, Huyện Gia Lâm, TP. Hà Nội; 35 m²; --; --; --;0
500 triệu; Phường Phú Đức, Thị xã Bình Long, Bình Phước; 1,500 m²; 50 m; 30 m; --;1
6.66 tỷ; Xã Vân Hồ, Huyện Vân Hồ, Sơn La; 6,065.50 m²; --; --; --;1
6.2 tỷ; Đường Đỗ Xuân Hợp Long Phước, Thủ Đức, TPHCM; 95 m²; 20 m; 5 m; --;0
4.2 tỷ; Xã Xuân Quan, Huyện Văn Giang, Hưng Yên; 60 m²; --; --; --;0
3.4 tỷ; Đường Quốc lộ 1A, Xã Ninh Lộc, Thị xã Ninh Hòa, Khánh Hòa; 381 m²; 64 m; 10 m; Đ.Bắc;0
6.2 tỷ; Đường Đỗ Xuân Hợp Long Phước, Thủ Đức, TPHCM; 95 m²; 20 m; 5 m; --;0
1.2 tỷ; Tỉnh lộ 5 , Xã Ninh Hưng, Thị xã Ninh Hòa, Khánh Hòa; 240 m²; 33 m; 7 m; Nam;0
220 tỷ; Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, TP. Hồ Chí Minh; 2,660 m²; --; --; --;0
450 triệu; Đường 10 Tân Viên, An Lão, Hải Phòng; 68 m²; 12 m; 6 m; --;0
2.8 tỷ; Đường Hoàng Hoa Thám Hoàng Quế, Đông Triều, Quảng Ninh; 165 m²; 17 m; 8.5 m; --;0
680 triệu; Xã Phước Thạnh, Huyện Gò Dầu, Tây Ninh; 150 m²; --; --; --;1
5.35 tỷ; Phường An Bình, Quận Ninh Kiều, TP. Cần Thơ; 147 m²; 8 m; 21 m; T.Bắc;1
580 triệu; Xã Thạnh Đức, Huyện Gò Dầu, Tây Ninh; 125 m²; 25 m; 5 m; --;0
3.72 tỷ; Phường Hợp Đức, Quận Đồ Sơn, TP. Hải Phòng; 177 m²; --; --; --;0
3.4 tỷ; Đường Võ Văn Kiệt Quang Minh, Mê Linh, Hà Nội; 100 m²; 20 m; 5 m; --;0
3.4 tỷ; Đường Võ Văn Kiệt Quang Minh, Mê Linh, Hà Nội; 100 m²; 20 m; 5 m; --;0
1.2 tỷ; Đường 55, Xã Lộc Nam, Huyện Bảo Lâm, Lâm Đồng; 120 m²; 20 m; 5.98 m; --;1
3.9 tỷ; Phường Bình Trị Đông A, Quận Bình Tân, TP. Hồ Chí Minh; 70.90 m²; --; --; --;1
600 triệu; Phường Hoà Nghĩa, Quận Dương Kinh, TP. Hải Phòng; 57 m²; --; --; T.Nam;1
2.5 tỷ; Đường TDP Kiều Đại Quảng Châu, Sầm Sơn, Thanh Hóa; 195 m²; 25 m; 8 m; --;0
1 tỷ; Đường 58 Đông Xá, Vân Đồn, Quảng Ninh; 87 m²; 18 m; 5 m; --;0
1.6 tỷ; Đường 55, Xã Lộc Nam, Huyện Bảo Lâm, Lâm Đồng; 150 m²; 25 m; 6 m; --;0
950 triệu; Tỉnh lộ 6, Xã Phú Mỹ Hưng, Huyện Củ Chi, TP. Hồ Chí Minh; 568 m²; 15 m; 37 m; --;1
2.3 tỷ; Xã Đức Hòa Đông, Huyện Đức Hòa, Long An; 90 m²; 18 m; 5 m; --;1
890 triệu; Xã Lộc Châu, TP. Bảo Lộc, Lâm Đồng; 588 m²; --; --; --;0
5 tỷ; Đường Trường Chinh Phú Mỹ, Phú Mỹ, Bà Rịa Vũng Tàu; 109 m²; 22 m; 5 m; --;0
790 triệu; Đường 826, Xã Mỹ Lệ, Huyện Cần Đước, Long An; 93 m²; 4.2 m; 22 m; --;1
1.65 tỷ; Đường Trà Khê Anh Dũng, Dương Kinh, Hải Phòng; 88 m²; 19 m; 5 m; --;0
1.3 tỷ; Xã Ninh Thọ, Thị xã Ninh Hòa, Khánh Hòa; 164.30 m²; --; --; --;0
300 triệu; Đường ĐT 759B, Xã Hưng Phước, Huyện Bù Đốp, Bình Phước; 250 m²; 50 m; 5 m; Bắc;1
520 triệu; Liên Ấp 2-6, Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 56 m²; 14 m; 4 m; Đông;1
3 tỷ; Xã Bình Đông, Thị xã Gò Công, Tiền Giang; 800 m²; --; --; --;1
375 triệu; Thị trấn Phước Vĩnh, Huyện Phú Giáo, Bình Dương; 250 m²; --; --; --;0
1.6 tỷ; Quốc lộ 50, Xã Bình Đông, Thị xã Gò Công, Tiền Giang; 500 m²; 25 m; 20 m; --;1
510 triệu; Đường 788, Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 195 m²; 39 m; 5 m; --;1
1.35 tỷ; Xã Phú Hòa Đông, Huyện Củ Chi, TP. Hồ Chí Minh; 81 m²; --; --; T.Nam;1
1.2 tỷ; Đường Lê Văn Lương Nhà Bè, huyện Nhà Bè, TPHCM; 80 m²; 16 m; 5 m; --;0
410 triệu; Xã An Bình, Huyện Phú Giáo, Bình Dương; 350 m²; --; --; --;0
1.35 tỷ; Tỉnh Lộ 15, Xã Phú Hòa Đông, Huyện Củ Chi, TP. Hồ Chí Minh; 81 m²; 15 m; 5.4 m; T.Nam;1
500 triệu; Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Đồng Nai; 1,000 m²; 40 m; 25 m; --;1
650 triệu; Đường ĐT 755, Xã Phước Sơn, Huyện Bù Đăng, Bình Phước; 250 m²; 50 m; 5 m; --;0
480 triệu; Xã An Khương, Huyện Hớn Quản, Bình Phước; 850 m²; 42 m; 20 m; --;1
550 triệu; Đường 11 Suối Đá, Dương Minh Châu, Tây Ninh; 100 m²; 20 m; 5 m; --;0
680 triệu; Đường 13C, Trừ Văn Thố, Bàu Bàng, Bình Dương; 100 m²; 20 m; 5 m; --;0
540 triệu; Cây Da, Xã Hiệp Thạnh, Huyện Gò Dầu, Tây Ninh; 125 m²; 25 m; 5 m; --;1
1.75 tỷ; Xã Phước Đồng, TP. Nha Trang, Khánh Hòa; 102 m²; --; 5 m; Đ.Bắc;0
1.6 tỷ; Xã Phước Đồng, TP. Nha Trang, Khánh Hòa; 94 m²; --; 5 m; Đ.Bắc;1
7.2 tỷ; Xã Phước Đồng, TP. Nha Trang, Khánh Hòa; 500 m²; --; 10 m; Nam;1
1.1 tỷ; Xã Phước Đồng, TP. Nha Trang, Khánh Hòa; 95 m²; --; 5 m; Đ.Nam;0
8.8 tỷ; Xã Phước Đồng, TP. Nha Trang, Khánh Hòa; 882 m²; --; 17 m; T.Nam;0
1.45 tỷ; Xã Phước Đồng, TP. Nha Trang, Khánh Hòa; 95 m²; --; 5 m; Bắc;0
1.25 tỷ; Xã Phước Đồng, TP. Nha Trang, Khánh Hòa; 106 m²; --; 5 m; Đ.Nam;0
890 triệu; Xã Phước Đồng, TP. Nha Trang, Khánh Hòa; 92 m²; --; 5 m; Đ.Nam;0
1.1 tỷ; Xã Phước Đồng, TP. Nha Trang, Khánh Hòa; 67 m²; 5 m; --; Nam;0
910 triệu; Xã Phước Đồng, TP. Nha Trang, Khánh Hòa; 73 m²; 5 m; --; Bắc;0
1.25 tỷ; Xã Phước Đồng, TP. Nha Trang, Khánh Hòa; 93 m²; 7 m; --; T.Nam;1
3.35 tỷ; Xã Phước Đồng, TP. Nha Trang, Khánh Hòa; 100 m²; 5 m; 20 m; Bắc;1
2.2 tỷ; Xã Phước Đồng, TP. Nha Trang, Khánh Hòa; 115 m²; 5 m; 23 m; Bắc;1
990 triệu; Xã Phước Đồng, TP. Nha Trang, Khánh Hòa; 94 m²; 5 m; 19 m; Tây;1
1.49 tỷ; Thái Khang, Xã Phước Đồng, TP. Nha Trang, Khánh Hòa; 96 m²; 5 m; 19 m; T.Bắc;1
24 tỷ; Đường Phùng Hưng An Thới, Phú Quốc, Kiên Giang; 741 m²; --; 15 m; --;0
11.43 tỷ; Đường Phước Bình, Xã Phước Bình, Huyện Long Thành, Đồng Nai; 3,265 m²; --; 60 m; --;0
870 triệu; Thị trấn Trảng Bàng, Huyện Trảng Bàng, Tây Ninh; 250 m²; 25 m; 10 m; --;1
820 triệu; Quảng trọng linh, Phường 7, Quận 8, TP. Hồ Chí Minh; 80 m²; 20 m; 4 m; --;0
611 triệu; Xã Đại Tập, Huyện Khoái Châu, Hưng Yên; 70 m²; 14 m; 5 m; Đ.Nam;0
1.8 tỷ; Xã Tả Phìn, Thị xã Sa Pa, Lào Cai; 1,350 m²; --; 40 m; --;0
611 triệu; Xã Đại Tập, Huyện Khoái Châu, Hưng Yên; 69 m²; --; --; Nam;0
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 78 m²; 16 m; 5 m; Nam;0
2.5 tỷ; Thị trấn NT Mộc Châu, Huyện Mộc Châu, Sơn La; 600 m²; --; --; --;0
500 triệu; Đường 101 Nam Lộ, Thị trấn Định Quán, Huyện Định Quán, Đồng Nai; 2,000 m²; 42 m; 55 m; --;0
15 tỷ; Đường 768B, Phường Trảng Dài, TP. Biên Hòa, Đồng Nai; 4,900 m²; --; 50 m; --;0
1.35 tỷ; Xã Phú Hòa Đông, Huyện Củ Chi, TP. Hồ Chí Minh; 81 m²; 15 m; 5.4 m; T.Nam;1
1.5 tỷ; Đường Quốc Lộ 43, Chiềng Khoa, Vân Hồ, Sơn La; 5,102 m²; 100 m; 50 m; --;0
1.75 tỷ; ĐƯỜNG NGUYỄN TẤT THÀNH, Thị Trấn Ái Nghĩa, Huyện Đại Lộc, Quảng Nam; 150 m²; --; 7 m; --;1
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 75 m²; 15 m; 5 m; Đ.Nam;0
900 triệu; Tỉnh lộ 2, Xã Phước Vĩnh An, Huyện Củ Chi, TP. Hồ Chí Minh; 82 m²; 5 m; 16 m; --;1
1.5 tỷ; Đường Quốc Lộ 43, Xã Chiềng Khoa, Huyện Vân Hồ, Sơn La; 5,102 m²; 100 m; 50 m; --;0
1.15 tỷ; Xã Đức Hòa Đông, Huyện Đức Hòa, Long An; 90 m²; 18 m; 5 m; --;1
351 triệu; Xã Hồng Liêm, Huyện Hàm Thuận Bắc, Bình Thuận; 1,262 m²; --; 30 m; Tây;0
1.93 tỷ; Đường 23B, Vân Nội, Đông Anh, HN; 69 m²; 16 m; 4.2 m; --;0
1.8 tỷ; Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 120 m²; 24 m; --; --;0
550 triệu; Bù Gia Mập, huyện Bù Gia Mập, Bình Phước; 300 m²; --; --; --;0
339 triệu; Đường 788, Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 120 m²; 24 m; 5 m; --;1
2.8 tỷ; Đường Suối Rồng Ngọc Xuyên, Đồ Sơn, Hải Phòng; 147 m²; 19 m; 8 m; --;0
1.39 tỷ; Xã Quy Đức, Huyện Bình Chánh, TP. Hồ Chí Minh; 90 m²; 18 m; 5 m; --;1
939 triệu; Đường Âu Cơ, Phường 1, Bảo Lộc, Lâm Đồng; 180 m²; 36 m; 5 m; --;0
2.8 tỷ; Đường Suối Rồng, Ngọc Xuyên, Đồ Sơn, Hải Phòng; 147 m²; 19 m; 8 m; --;0
700 triệu; Đồng Văn Dẫn, Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 112 m²; 22 m; 5 m; --;1
690 triệu; Xã Tân Hưng, Huyện Đồng Phú, Bình Phước; 2,000 m²; 100 m; 20 m; --;0
715 triệu; Quốc lộ 50, Xã Tân Lân, Huyện Cần Đước, Long An; 88 m²; --; --; --;1
679 triệu; Thị trấn Cần Đước, Huyện Cần Đước, Long An; 104 m²; --; --; --;0
1.65 tỷ; Xã Phú Hòa Đông, Huyện Củ Chi, TP. Hồ Chí Minh; 100 m²; 5 m; 20 m; --;0
5.9 tỷ; Đường Tỉnh Lộ 420, Xã Bình Yên, Huyện Thạch Thất, TP Hà Nội; 200 m²; 25 m; 8 m; --;0
389 triệu; Đường 788, Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 110 m²; --; --; --;1
670 triệu; Đường Quốc Lộ 50, Xã Phước Đông, Huyện Cần Đước, Long An; 100 m²; 20 m; 5 m; --;1
1.18 tỷ; Đường Quốc Lộ 3, Đông Xuân, Sóc Sơn, HN; 65 m²; 13 m; 5 m; --;0
500 triệu; Xã Tân Lợi, Huyện Đồng Phú, Bình Phước; 300 m²; --; --; --;0
770 triệu; Xã Long Tân, Huyện Dầu Tiếng, Bình Dương; 1,000 m²; 71 m; 14 m; Đ.Nam;1
1.35 tỷ; Đường dt784, Thị trấn Dương Minh Châu, Huyện Dương Minh Châu, Tây Ninh; 286 m²; 26 m; 11 m; T.Bắc;1
820 triệu; Xã Tân Bửu, Huyện Bến Lức, Long An; 100 m²; --; --; --;0
4.3 tỷ; Đường Tỉnh lộ 420, Tân Xã, Thạch Thất, HN; 156 m²; 20 m; 8 m; --;0
3.15 tỷ; Đường Cổ Điển A, Xã Tứ Hiệp, Huyện Thanh Trì, TP Hà Nội; 46 m²; 11 m; 4 m; --;0
670 triệu; Đường Quốc Lộ 2, Xã Minh Trí, Huyện Sóc Sơn, TP Hà Nội; 58 m²; 14 m; 4 m; --;0
490 triệu; Xã Tân Lợi, Huyện Đồng Phú, Bình Phước; 1,025 m²; --; --; --;0
815 triệu; Nguyễn cửu phú, p. Tân tạo a Bình Tân TP. Hồ Chí Minh; 95 m²; --; --; --;1
378 triệu; Xã Tân Hưng, Huyện Hớn Quản, Bình Phước; 200 m²; 5 m; 34.99 m; --;1
1.36 tỷ; Đường Trần Hưng Đạo, Phường Tiến Thành, TP. Đồng Xoài, Bình Phước; 150 m²; 25 m; 5.99 m; --;1
1.3 tỷ; Đường Huỳnh Châu Sổ, Phường 4, TP. Tân An, Long An; 110 m²; 4 m; 28 m; --;1
1.45 tỷ; Đường Long Tân-Láng Dài Phước Long Thọ, Đất Đỏ, Bà Rịa Vũng Tàu; 1,000 m²; 45 m; 25 m; --;0
5.9 tỷ; Đường Tỉnh lộ 420 Bình Yên, Thạch Thất, Hà Nội; 200 m²; 25 m; 8 m; --;0
650 triệu; NGUYỄN HỮU TRÍ, Thị trấn Tân Túc, Huyện Bình Chánh, TP. Hồ Chí Minh; 90 m²; 15 m; 6 m; --;1
500 triệu; Xã Khánh Hòa, Huyện U Minh, Cà Mau; 1,000 m²; --; --; --;1
1.85 tỷ; Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0
500 triệu; Xã La Ngà, Huyện Định Quán, Đồng Nai; 1,000 m²; 40 m; 25 m; --;1
1.65 tỷ; Đường Nguyễn Trung Trực, An Hòa, Biên Hòa, Đồng Nai; 70 m²; 17.32 m; 4 m; --;0
540 triệu; Xã Tân Lợi, Huyện Đồng Phú, Bình Phước; 250 m²; 50 m; 5 m; --;1
475 triệu; Phường 2, TP. Bảo Lộc, Lâm Đồng; 1,000 m²; --; 23 m; Đông;1
680 triệu; Xã Lộc Khánh, Huyện Lộc Ninh, Bình Phước; 215 m²; 43 m; 5 m; --;1
700 triệu; Đường DH507, Tiến Hưng, Đồng Xoài, Bình Phước; 122 m²; 20 m; 6 m; --;0
899 triệu; Đường 23/3, xã Đắk Nia, Huyện Krông Năng, Đăk Lăk; 132 m²; 22 m; 6 m; --;0
980 triệu; Phường Tân Định, Thị xã Bến Cát, Bình Dương; 90 m²; 16 m; 5 m; --;0
989 triệu; Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 105 m²; 20 m; 5 m; --;0
1.75 tỷ; Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương; 150 m²; 30 m; 5 m; --;0
810 triệu; Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0
950 triệu; Phường Định Hoà, TP. Thủ Dầu Một, Bình Dương; 100 m²; 20 m; 5 m; --;0
920 triệu; Phường Tân Định, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0
349 triệu; Đường 788, Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 105 m²; 5 m; 21 m; Bắc;1
900 triệu; Xã Điện Thọ, Thị xã Điện Bàn, Quảng Nam; 185 m²; --; --; --;0
350 triệu; Đường 14, Xã Cư Bao, Thị Xã Buôn Hồ, Đắk Lắk; 160 m²; --; --; --;0
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 6 m; 22 m; --;0
889 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 138 m²; 22 m; 6 m; --;0
900 triệu; Xã Ea Kao, TP. Buôn Ma Thuột, Đắk Lắk; 132 m²; 22 m; 6 m; --;0
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; --; --; --;1
1.75 tỷ; Đường Bắc Cầu, Phường Ngọc Thụy, Quận Long Biên, TP. Hà Nội; 73 m²; 18 m; 4 m; --;1
630 triệu; Tân Phước, Thị trấn Cần Giuộc, Huyện Cần Giuộc, Long An; 75 m²; --; --; --;0
3.5 tỷ; Xã Ninh Tân, Thị xã Ninh Hòa, Khánh Hòa; 1,690 m²; 83 m; 20 m; Đ.Nam;0
2.6 tỷ; Đường Quốc lộ 15 Đô Lương, huyện Đô Dương, Nghệ An; 120 m²; 20 m; 6 m; --;0
450 triệu; Đường 10, Xã Tân Viên, Huyện An Lão, TP Hải Phòng; 68 m²; 12 m; 6 m; --;0
1.3 tỷ; Tỉnh lộ 10, Xã Đức Hòa Đông, Huyện Đức Hòa, Long An; 120 m²; 6 m; 20 m; --;1
3.36 tỷ; Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, TP. Hồ Chí Minh; 61 m²; --; --; --;1
42 tỷ; Đường Hoàng Cầu Ô Chợ Dừa, Đống Đa, Hà Nội; 150 m²; --; 7 m; --;0
410 triệu; Xã Phong Phú, Huyện Bình Chánh, TP. Hồ Chí Minh; 100 m²; --; --; --;1
1.6 tỷ; Đường 55, Xã Lộc Nam, Huyện Bảo Lâm, Lâm Đồng; 150 m²; 25 m; 6 m; --;0
1.42 tỷ; Đường Đặng Văn Ngữ, Phường Ea Tam, TP. Buôn Ma Thuột, Đắk Lắk; 134 m²; 28 m; 5 m; T.Bắc;1
1.09 tỷ; Hưng Long, Xã Quy Đức, Huyện Bình Chánh, TP. Hồ Chí Minh; 150 m²; --; --; --;0
845 triệu; Đường Hồng Bàng, Phường 1, TP Bảo Lộc, Lâm Đồng; 130 m²; --; --; --;0
2.9 tỷ; Đường Thượng Đức, Minh Đức, Đồ Sơn, Hải Phòng; 229 m²; 22 m; 10 m; --;0
2.9 tỷ; Đường Thượng Đức, Phường Minh Đức, Quận Đồ Sơn, TP Hải Phòng; 229 m²; 22 m; 10 m; --;0
600 triệu; Xã Phan, Huyện Dương Minh Châu, Tây Ninh; 150 m²; --; --; --;0
935 triệu; Đường 15B, Phường Bến Nghé, Quận 1, TPHCM; 165 m²; 33 m; 5 m; --;0
900 triệu; Quốc lộ 1A, Phường Tam Quan Bắc, Thị xã Hoài Nhơn, Bình Định; 100 m²; 20 m; 5 m; Đông;0
1.5 tỷ; Đường Long Tân-Láng Dài, Phước Long Thọ, Đất Đỏ, Bà Rịa Vũng Tàu; 1,000 m²; 40 m; 25 m; --;0
